file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00313_310.350-311.950,ད་འོ་ན་མོ་རང་གིས་བློས་ཐོང་རོགས་བྱེད་ཀི་ ,da 'o na mo rang gis blos thong rogs byed ki _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00313_310.350-311.950.wav,STT_TT,3,40,1.599999999999966,wav16k/STT_TT00313_310.350-311.950.wav,ད་ཨ་མ་མོ་རང་གིས་བློས་གཏོང་རོགས་བྱེད་ཀི་
STT_TT00314_316.000-316.950,དཔེ་ཐལ་ཚལ་དགུ་ཚལ་ ,dpe thal tshal dgu tshal _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00314_316.000-316.950.wav,STT_TT,3,18,0.9499999999999886,wav16k/STT_TT00314_316.000-316.950.wav,དཔེ་དེ་ཚན་སྐུ་ཚད།
STT_TT00315_909.600-910.800,ཁ་ལག་ལེན་བྱས་བསྡད་རྗེས།  ,kha lag len byas bsdad rjes/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00315_909.600-910.800.wav,STT_TT,3,25,1.1999999999999318,wav16k/STT_TT00315_909.600-910.800.wav,ཁ་ལག་ལིན་བྱས་བསྡད་བྱས།
STT_TT00314_856.800-857.750,ད་གནོད་པ་སྐྱེལ་མཁན་དང་དེ་འདྲས་ ,da gnod pa skyel mkhan dang de 'dras _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00314_856.800-857.750.wav,STT_TT,3,31,0.9500000000000456,wav16k/STT_TT00314_856.800-857.750.wav,ད་གནོད་པ་སྐྱེལ་མྱི་མེ་དེ་འདྲས།
STT_TT00316_169.300-171.000,མི་དགྱེས་གང་ལགས་དེ་ཐུབ་བཟོད་པར་གསོལ། བྱས་ ,mi dgyes gang lags de thub bzod par gsol/_byas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00316_169.300-171.000.wav,STT_TT,3,42,1.6999999999999886,wav16k/STT_TT00316_169.300-171.000.wav,བདེ་སྐྱིད་གང་ལ་བདེ་ཐུབ་བཟོད་པར་གསོད། བྱས།
STT_TT00316_1858.150-1858.750,སྦྱིན་པ་བཏང་ན་ཅིག ,sbyin pa btang na cig_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00316_1858.150-1858.750.wav,STT_TT,3,18,0.599999999999909,wav16k/STT_TT00316_1858.150-1858.750.wav,སྦྱིན་པ་བཏང་ནས་ཅིག
STT_TT00316_988.150-989.550,ལྷོད་ལྷོད་བྱས་ནས་མར་བསྡད་བཞག་ཡ་ ,lhod lhod byas nas mar bsdad bzhag ya _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00316_988.150-989.550.wav,STT_TT,3,32,1.3999999999999773,wav16k/STT_TT00316_988.150-989.550.wav,ལྷོད་ལྷོད་བྱས་ནས་མར་བསྡད་བཞག་ཡ།
STT_TT00313_1134.200-1134.850,དངོས་གནས་བདེ་སང་སང་ ,dngos gnas bde sang sang _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00313_1134.200-1134.850.wav,STT_TT,3,20,0.6499999999998636,wav16k/STT_TT00313_1134.200-1134.850.wav,དངོས་གནས་ལྟེ་ས་ང།
STT_TT00315_1564.000-1564.700,ལས་ཁུངས་ནང་ལས་ད་ག་རེད།  ,las khungs nang las da ga red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00315_1564.000-1564.700.wav,STT_TT,3,24,0.7000000000000455,wav16k/STT_TT00315_1564.000-1564.700.wav,ལས་ཁུངས་ནང་ལས་ད་ག་རེད།
STT_TT00315_713.350-714.850,ཅིག་ལྟ་འདོད་དང་། ཤེས་རོགས་བྱས་བསམ་བསམ་གིས་ ,cig lta 'dod dang /_shes rogs byas bsam bsam gis _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00315_713.350-714.850.wav,STT_TT,3,43,1.5,wav16k/STT_TT00315_713.350-714.850.wav,ཅིགལྟ་འདོད་དང་ཕྱེད་རོགས་བྱས་ན་བསམ་བསམ་གི་
STT_TT00319_35.600-36.800,ད་ཁྱེད་རས་ངུ་ག་ངས་ངུ་ག་ ,da khyed ras ngu ga ngas ngu ga _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00319_35.600-36.800.wav,STT_TT,3,24,1.1999999999999955,wav16k/STT_TT00319_35.600-36.800.wav,ད་ཁྱེད་རས་ངུ་ག། ཉས་ངུ་
STT_TT00319_262.500-263.100,ཅི་ཡོད་མ་རེད།  ,ci yod ma red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00319_262.500-263.100.wav,STT_TT,3,15,0.6000000000000227,wav16k/STT_TT00319_262.500-263.100.wav,ཟེ་ཡོད་མ་རེད།
STT_TT00310_326.800-327.500,ངས་དེ་འདྲའི་བཤད་ཡིན་པ།  ,ngas de 'dra'i bshad yin pa/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00310_326.800-327.500.wav,STT_TT,3,24,0.6999999999999886,wav16k/STT_TT00310_326.800-327.500.wav,ངས་ཁ་སང་བཤད་ཡིན་པ།
